,Issued time,Country,Job category,Job title,Company,Part time/ Full Time,Star review,Number of reviews,Location,Job description,Indeed link,Min salary,Max salary,Average salary,Salary group,Minimum education level,Maximum education level,Python,Machine Learning,JavaScript,R,Java,IoT,Excel,Power BI,English,Chinese,SAS,Oracle,C++,C#,C,Qlik,alteryx,Tableau,SPSS,Powerpoint,PostgreSQL,SQL,MySQL,Visualisation tool,Programming tool
52,8,Singapore,Data analyst,DATA ANALYST #SGUNITEDJOBS,HELIUS TECHNOLOGIES PTE. LTD.,,4.3,8,Singapore,"Required Skills

At least 5 years’ experience in IT or data analysis experience mainly in handling data migration projects
Able to evaluate, design, execute, quantify, monitor and controls business processes
Must have general knowledge of Banking Business processes (Remittance, Deposits and common functions preferred)
Preferred - Understanding on Data (Data Relation, Database System)
Advantageous to have experience working in ETL or any banking SDLC waterfall project
Good knowledge and experience in data migration methodology and strategy


RELATED SKILLS
ETL
Data analyses
system
designed
Transactional Banking
Transaction Banking
SQL
Microsoft Office
Microsoft Excel
Business Analysis
Databases
Data Mining
Data Migration
Data Analysis
Data
Core Banking
Business Process",https://sg.indeed.com/rc/clk?jk=edae556a9180f762&fccid=b3282c125f18e0c0&vjs=3,32520.0,37940.0,35230.0,30000-39999,Not specified,Not specified,,,,,,,Y,,,,,,,,,,,,,,,,,,
773,8,Singapore,Data scientist,Data Scientist,VOPAK ASIA PTE. LTD.,,,,Jurong East,"Roles & Responsibilities
As a Data Scientist, candidates will make a significant contribution in the digital transformation Company is currently in. With your knowledge, insights, vision and skills, you will develop initiatives to improve processes by combining enterprise data, Internet of Things (IoT) and determine patterns resulting in predictive models.

Job Description :
Diving deep into datasets to find fascinating (or informative) data insights and unexpected correlations;
Explore new algorithms to bring data and insights, such as demand forecasting and predictive maintenance;
Collaborate with experts in a variety of disciplines to pioneer new approaches to research by integrating diverse data sources;
Contributing to the technical vision around the tools and the way of working;
Applies new approaches as a direct result of one’s own initiative that results in a better solution, increased quality and/or greater efficiency.

Requirements :
Academic degree in e.g. econometrics, mathematics or other data analytics discipline.
Beneficial is experience compiling and analyzing complex, high volume, high dimensional datasets.
Excellent data mining skills including data auditing, aggregation, validation and reconciliation; advanced modelling techniques, testing and creating and explaining results in clear and concise reports.
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=4fe81191bdcf4a82&fccid=75884f8ea6e7776c&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,,Y,Y,,,,,,,,,,,,,,,,,,
530,8,Singapore,Data analyst,System Analyst,ENCORA TECHNOLOGIES PTE. LTD.,,3.8,37,Singapore,"Roles & Responsibilities
Good domain knowledge on Market Data for all asset classes.
With NeoXam DataHub EDM specific product and development experiences to lead the design of Data model, establish as golden Data Source and distribute data to downstream systems at bank’s enterprise level.
Analyse user (front to back office) requirements and formulate functional and technical design documents.
Co-ordinate with vendor on specifications, build, delivery testing, and implementation.
Communicate and manage end-to-end testing for users with vendor to internal systems.
Work with internal Change Control Management for deployment of changes.
Work with internal infrastructure and security teams for implementations.
Implement NeoXam’s DataHub software solutions.


Degree IT Engineering, Business or Finance
You have minimum of 4 years of experience with IT projects in the banking / financial / insurance industry.
Direct Product knowledge in NeoXam Datahub, formerly known as Smartco
Key functional domain knowledge on Market Data for Global Market Trading and its usage for downstream regulatory reporting.
You have minimum of 2 years of experience with software implementation in the areas of Markit EDM, Enterprise Data Management (EDM), DataWarehouse (DW-ETL) or Business Intelligence (BI).
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=efa02c0916840680&fccid=12655ef495bea0a8&vjs=3,27100.0,40650.0,33875.0,30000-39999,Bachelor,Bachelor,,,,,,,,Y,,,,,,,,,,,,,,,,Y,
534,8,Singapore,Data analyst,"#SGUNITEDJOBS MANAGER/ASSISTANT MANAGER (BUSINESS INTELLIGENCE ANALYST, PROFESSIONAL SERVICES TEAM)",INFO-COMMUNICATIONS MEDIA DEVELOPMENT AUTHORITY,,,,Singapore,"As part of the Sectoral Transformation Group in IMDA, the Modern Services Cluster seeks to improve the adoption of digital technologies and build strong digital capabilities in the professional, financial and technology sectors.

The Professional Services team sits within the Modern Services Cluster and is responsible to drive strategy, development and acceptance of digital utilities to enable Singapore-based enterprises to access B2B business flows seamlessly and expand digital connectivity to key markets.

You will be an individual contributor to provide a bridge through knowledge management by uncovering, processing, obtaining, cleaning, organising, relating and cataloguing source data to create business intelligence and communication information of high value to support business decision making demands for target industry.

Responsibilities

Perform full lifecycle of data analyst activities, including conceptualizing to operationalization. Provide critical thinking to look at numbers, trends, and data and come to correct conclusions based on the findings.
Collate and present key findings to senior management and/or other stakeholders with actionable recommendations on the usability to the business communities.
Define data sources and requirements, design and implement processes and models for complex, large-scale datasets used for predictive modelling, data mining, and research purposes.
Lead ideation, experimentation, hypotheses formulation and testing.
Use Business Intelligence Tools to design analytics dashboards. Develop dashboard visualization, metrics, KPIs; establishing baselines, targets, averages and benchmarks.
Work with partners in meeting milestones, timelines, and deliverables for projects, such as the SME Business 360 programme.
Participate in industry engagements, such as workshops, seminars, speaking engagements, to promote Singapore thought leadership in digital utilities or for specific programmes.
Contribute contents for the development of communication materials to support IMDA's participation in partner and industry events.

Requirements

Background in Statistics, Information Technology, Business Analytics, Data Science, Computing or related quantitative discipline.
Good knowledge and experience with visualisation tools such as Power BI and Tableau
Good knowledge of data warehousing, data lake, data mining, advanced data analytics & modelling
3 - 5 years of relevant working experience, preferably in business intelligence & analytics, finance, business consulting or trade industry
Methodical, process oriented, organised and proactive self-starter

Position will commensurate with experience.

Only short-listed candidates will be notified.


RELATED SKILLS
Business Analysis
Project Management
Requirements Analysis
Process Improvement
Integration
SDLC
SQL
Business Process
Requirements Gathering
Software Documentation
Analysis
Business Intelligence
Change Management
SharePoint
Software Project Management
Visio
Management
Business Process Improvement
Microsoft SQL Server
Testing",https://sg.indeed.com/rc/clk?jk=1dc38a7d8d01845b&fccid=ddc35786b0fc90bb&vjs=3,16260.0,37940.0,27100.0,20000-29999,Not specified,Not specified,,,,,,,,Y,,,,,,,,,,Y,,,,Y,,Y,
17,8,Singapore,Data analyst,Data Visualization Analyst,SCIENTE INTERNATIONAL PTE. LTD.,,3,7,Singapore,"Roles & Responsibilities
Job Description
Engage stakeholders to develop functional data visualizations or dashboards which involves working closely with business subject matter experts to understand, propose and formulate solutions
Transform, improve and integrate data based on requirements provided by stakeholders
Build and design from multiple data sets into self-service Data Visualization tool like Tableau that is used for storytelling, insights and presentation
Instrument department’s dashboards to have common look and feel
Validate accuracy of the logic with clear test scenarios and back-testing using historical, including the necessary data extraction and transformation.
Work with IT to code and test dashboard in the Data Lake (Department’s central repository for data which includes transactions).
Ensure documentation and traceability of requirements and, process flow diagrams, and other project documents.

Required Experience
Strong data visualization skills using Tableau, Qlikview, Microsoft Excel, Microsoft PowerPoint is required
Relevant working experience in developing data visualizations
Excellent communications skill, able to engage stakeholders across levels. Proven ability in business analysis and problem solving
Experience in Python/ R and SQL will be an advantage.
Experience with Agile, human-centered design and experimentation an advantage
Experience in bank operations in Treasury preferred but not compulsory.

Should you be interested in this career opportunity, please send in your updated resume to apply@sciente.com at the earliest.

When you apply, you voluntarily consent to the disclosure, collection and use of your personal data for employment/recruitment and related purposes in accordance with the SCIENTE Group Privacy Policy, a copy of which is published at SCIENTE’s website (https://www.sciente.com/privacy-policy).

Confidentiality is assured, and only shortlisted candidates will be notified for interviews.

EA Licence No. 07C5639
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=526f985b1f1ea094&fccid=a176617a4318c18e&vjs=3,32520.0,54200.0,43360.0,40000-49999,Not specified,Not specified,Y,,,Y,,,Y,,,,,,,,,Y,,Y,,,,Y,,Y,Y
40,8,Singapore,Data analyst,Data Analyst,EMBRIO CONSULTING PTE. LTD.,Full-time,,,Singapore,"Roles & Responsibilities
Data Analyst

Embrio Consulting – Singapore

Duties and Responsibilities
Collaborate with stakeholders to understand their needs/pain points
Design solutions to be used for streamlining operations and/or develop solutions for citizens
Build and manage the entire end-to-end lifecycle, including:
Scoping data inputs
Data cleaning and pre-processing
Feature engineering
Building models
Deploying to production
Improving models by iterations
Contribute to the data architecture engineering decisions to support analytics
Analyse Website and Mobile Application data and suggest actionable insights for improvements

Qualifications
Strong understanding of key concepts, techniques and considerations in machine learning and data analytics
Experience in feature selection/extraction on a variety of data types
Experience in analysing Web and Mobile Application data
Experience with cloud deployments using AWS is an added advantage
Good communication skills to articulate findings and recommendations
Passionate to know more about predictive modelling algorithms/recommender systems
Knowledge of Oracle Big Data Cloud will be an advantage

Interested applicants are open to apply through this job ad with your most updated Resume/CV.

EA Reg No: R1222708
EMBRIO CONSULTING PTE. LTD.
EA License Number 10C4154

Job Types: Full-time, Contract, Permanent
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=8dad2eb7755090e7&fccid=a71f6e8f05db8ee0&vjs=3,18970.0,29810.0,24390.0,20000-29999,Not specified,Not specified,,Y,,,,,,,,,,Y,,,,,,,,,,,,,
479,8,Singapore,Data analyst,Information Security Program Analyst (APAC),CITI,,3.9,"17,517",Central Singapore,"The Info Security Tech Sr Analyst is an intermediate level position responsible for leading efforts to prevent, monitor and respond to information/data breaches and cyber-attacks. The overall objective of this role is to ensure the execution of Information Security directives and activities in alignment with Citi's data security policy.

Responsibilities:
Assist Security Incident Response Teams with incident investigations and aid in technical risk assessments
Coordinate with system development and infrastructure units to identify Information Security (IS) risks and the appropriate controls for development, day-to-day operation, and emerging technologies
Perform regular assessments based on changes in the threat landscape
Monitor vulnerability assessments and ethical hacks, ensuring that issues are addressed for the applications that they support
Provide information security support with related activities during systems development (e.g. authentication, encryption)
Identify and develop new and improved technical procedures and process control manuals
Identify significant IS threats and vulnerabilities
Assume informal/formal mentorship role within teams and assist with the coaching and training of new team members
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:
5-8 years of relevant experience
Consistently demonstrates clear and concise written and verbal communication
Proven influencing and relationship management skills
Proven analytical skills

Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
#LI-SG
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - SG
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity .
To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement .
To view the EEO Policy Statement .
To view the Pay Transparency Posting .",https://sg.indeed.com/rc/clk?jk=c92f1aabb3a310d7&fccid=5bcd1ef0a7f4fb99&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,,,,,
238,9,Singapore,Data analyst,INFORMATION TECHNOLOGY INFRASTRUCTURE ANALYST,UST GLOBAL (SINGAPORE) PTE. LIMITED,,3.7,857,Singapore,"Roles & ResponsibilitiesLead efforts to deploy new and optimize existing solutions, automate, create standards, and govern the data center (Cisco UCS, Nutanix, vSphere), AWS, and Azure environments.Deploy a cross-cloud cost management platform and execute on recommendations to drive large cost optimization projects.Ensure the cloud and data center environments are engineered to high quality standards that not only meet business needs and continuity but are designed to adapt and scale in the long-term.Evangelize and guide business and application teams to adopt and develop cloud-native solutions.Lead discussions and provide guidance and documentation to technical teams regarding operational, technical, and procedural best practices and functional experience.Act as the senior support resource for all infrastructure and cloud matters when requiredPrimary liaison with technical account teams at AWS and Microsoft (Azure) to ensure HUB adheres to best practices and stays on the cutting edge of new offerings.Maintain a working knowledge of their
5+ years related professional experienceRobust background in cloud technologies (AWS required, Azure preferred) - AWS Certification(s) Preferred.Experience with data center technologies, including VMware vSphere, Cisco UCS, and Hyperconverged Infrastructure.Advanced experience with infrastructure as code tools (CloudFormation, Azure Resource Manager, etc.)Microsoft-centric technology engineering experience, including server versions 2008 2019, SCCM, Active Directory, etc.Basic understanding of networking and security concepts.

IT Infrasturucutre Analysis, Cloud Computing Engineering.
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=ec82e933561414a8&fccid=8009d67e70703a78&vjs=3,32520.0,46070.0,39295.0,30000-39999,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
1042,9,Singapore,Data scientist,IT Solutions Data Architect,Great Eastern Life Assurance Co Ltd,,4,33,Singapore,"Job Purpose Responsible for the architecture and technical design of GE’s big data platform, including systems integration, processes and governance to operationalize the big data platform. Required to work closely with business stakeholders, project managers and third party vendors to develop technical solutions in areas of AI, Analytics and use of the big data platform to fulfill various business use cases. Expected to set data architecture principles, create models of data enabling the implementation of the intended business architecture, create diagrams showing key data entities, and create an inventory of the data needed to align with our enterprise architecture vision.
The Job
Owner of GE Big Data Platform (BDP) Architecture.Responsible evolvement and the governance of the BDP Architecture.Document As-Is and To-Be Architecture.Support delivery teams of related GE projects to ensure alignment of project technical solutions to the BDP Architecture.Provide technical directions to delivery teams in the domain of Data and Analytics.Document key architecture decisions.Harvest Architecture Assets.Review and Approve project designs such as data models, data flow, tools, system architecture etc.Establishing and enforcing standards, processes, frameworks, tools and best practices for process modeling, semantic modeling, and logical and physical data modelling.Establish standard information architecture best practices in the context of the enterprise’s overall architecture, and consistently apply such standards to operating units and functions across the company.Work with project teams to ensure compliance with data management standards.Work with business product owners, application teams, infrastructure team, vendors, data scientists to conduct Proof of Concepts (POCs), jointly evaluate and implement various data analytics and AI related solutions.Prepare Data Architecture Strategies and Roadmap.Research and evaluate alternative solutions and recommend the most efficient and cost effective data related solutions for improved data integrity.Regular review of emerging technologies to assess their relevance and viability in solving on-going information management challenges. Big Data, cloud computing, data visualization, data masking, enterprise business metadata management and Data SOA.Work closely with users to understand and help develop functional specifications.Prepares written reports of findings and recommendations.Participate in the development and maintenance of corporate data architecture, data management standards and conventions, data dictionaries and data element naming standards and conventions for multiple computing environments.Work with Information Security to ensure proper classification and protection of enterprise data.
Our Requirements
Bachelor’s degree in computer science, or other relevant field.Minimum 10 years of relevant data management experience, including architecting data management solutions and designing/developing data governance policies/standards.Experience in implementation of big data platform and data warehouse projects.Strong project leadership and management skills to lead organizational change to effectively meet strategic and tactical goals.Strong written and verbal communications skills required; must be equally comfortable discussing the enterprise information management (EIM) strategic perspective with executives and implementation details with operational staff and IT.Organizational/political agility with the ability to drive large, cross-functional data management programs involving coordination with multiple stakeholders.Ability to help define and articulate the enterprise data management strategic vision and translate it into tactical implementable steps to C level.Solid knowledge of the organization's industry and its challenges in the use of data and information.Certification in data management and understanding of the various technologies of data management within an organization.Strategic decision-making skills with a high degree of latitude.Financial services domain knowledge, including expertise at the intersection of risk, finance and customer domains.Expertise in business and IT architecture, including familiarity with leading architectural standards such as TOGAF, FEA and/or Zachman.Familiarity with Enterprise Metadata Management (business and IT) and OMG standards.Information management program life cycle experience.Experience in operationalizing Data Governance, Data Stewardship and Data Quality.Familiarity with industry data models such as IBM BDW and IIW, Teradata FSLDM, and SAS IIA.End-to-end data warehousing program execution knowledge and leadership.Familiarity with software development lifecycles.Experience in defining business requirements for information management projects.Familiarity with process modeling, semantic modeling and data modelling.Broad knowledge of solutions and technologies in the Data & Analytics domain such as Horton Works Hadoop Platform, IBM Netezza, SAS Viya, Talend, Infomatica, Tableau, QlikSense, Hive, RDBMS technologies, R, Python etc.

To all recruitment agencies: Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes.",https://sg.indeed.com/rc/clk?jk=119fa77bf97a4854&fccid=500234c403b52d56&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,Y,,,,,,,,,,Y,,,,Y,Y,,Y,,,,,,Y,Y
849,9,Singapore,Data scientist,Senior Data Scientist (Semiconductor),HAYS SPECIALIST RECRUITMENT PTE. LTD.,Full-time,,,Singapore,"Roles & Responsibilities

Your new company

Leading multinational semiconductor firm with stable business pipelines

Your new role

As a Data Scientist, you will work closely with IT on data management, access and prepare necessary data. you will also work with product engineers to create machine learning models, develop it into an application with the intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc
Select features, build and optimize classifiers using machine learning techniques
Data mining using state-of-the-art methods
Enhance data collection procedures to include information that is relevant for building analytic systems.
Process, cleanse, and verify the integrity of data used for analysis
Work ad-hoc analysis and presenting results in a clear manner
Create automated anomaly detection systems and constant tracking of its performance.

What you'll need to succeed
At least 10-year relevant experience in Semiconductor industry background - highly preferred
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.
Experience with data visualization tools, such as D3.js, GGplot, etc
Proficiency in using query languages such as SQL, Hive, Pig
Deep understanding of yield improvement management
Good applied statistics skills, such as distributions, statistical testing, regression, etc
Good scripting and programming skills.

What you need to do now

If you’re keen on pursuing this exciting opportunity, please send a copy of your CV to jean.qin@hays.com.sg.

EA Licence Number: 07C3924 Registration Number: R1988363 Company Registration ID No.: 200609504D
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=f932c3fc145a2fbc&fccid=3f3e1130b169c1a2&vjs=3,75880.0,86720.0,81300.0,70000 or above,Not specified,Not specified,,Y,,,,,Y,,,,,,,,,,,,,,,,,,
952,9,Singapore,Data scientist,Data Engineer (Information Processing & Analytics),Centre for Strategic Infocomm Technologies (CSIT),,,,Singapore,"CSIT develops products to advance the national security interests of Singapore. Our products are used in a wide range of operations, including but not limited to, Counter-terrorism and Computer Network Defense. We are looking for talented data engineers to empower teams working on mission-critical products that identify, analyse and disrupt threats by fulfilling their data requirements.

Role

As a data engineer, you will play a key part in advancing the national security of interests of Singapore by delivering timely and complete data to product teams. You will have the opportunity to design innovative data solutions and solve challenging problems on petabyte-scale datasets. You will have the freedom to determine the best way to deliver value, be it developing from scratch or building upon the best solutions from the developer community.

Responsibilities

Design, develop and support data warehouses, dashboards, and reporting tools
Work with other data engineers and stakeholders to design and spec ETL pipelines that are accurate, timely and suitable for downstream use cases
Build scalable and reliable ETL pipelines and processes to handle data from a large number and variety of data sources
Identify and recommend different ways to constantly improve data reliability and quality.
Implement data access and security to allow data scientists and analysts to access data easily

Requirements
Minimum requirements

3+ years of coding experience in Java and Python
Experience in handling large data sets (minimum 100GB per day) and working with structured and unstructured data using traditional and distributed systems
Experience in designing data models and data warehouse
Experience in SQL and NoSQL database management systems
Experience in Apache Nifi, Apache Spark and Apache Kafka

Nice-to-haves

Deep understanding of databases and engineering best practices - include handling and logging errors, monitoring the system, building human-fault-tolerant pipelines, understanding how to scale up, addressing continuous integration, knowledge of database administration, maintaining data cleaning and ensuring a deterministic pipeline
Experience in statistical modeling and machine learning

As CSIT is an agency under the Ministry of Defence (Singapore), only Singapore Citizens will be considered.",https://sg.indeed.com/rc/clk?jk=fb5f25e2deaa3dcc&fccid=a7f2c2907db7d27d&vjs=3,,,,Not Mentioned,Not specified,Not specified,Y,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,Y
799,9,Singapore,Data scientist,Associate Scientist,Merck KGaA,,,,Singapore,"YOUR ROLE:
As Associate Scientist you will be part of the Process Solutions Services team that designs and delivers Viral Clearance validation studies for biopharmaceutical companies across the APAC region. In this role you will conduct a variety of tasks to support GLP/ GMP operations, perform cell culture and virus titration assays, and maintain the testing laboratories and equipment in the validated state. You will carry out client studies with appropriate regulatory compliance under the oversight of the Study Director and work side-by-side with onsite clients, independently performing client activities and viral inactivations as required. As part of your daily responsibilities you will also initiate and support investigations, lead lab improvement projects, and generate SOP’s as required. The Associate Scientist will work closely with the scientists and laboratory personnel to execute client studies on time and right first time.

Brief role description:
Works within the Viral Clearance laboratories following Standard Operating Procedures (SOP) and relevant compliance regulations
Performs cell culture and virus titration assays to ensure routine studies are completed on time
Accurately and promptly records data to meet appropriate scientific and GLP/GMP regulatory standards
Works side-by-side with onsite clients performing scale-down purification operations in the lab
Independently performs virus spiking, sample preparation and virus inactivation operations
Performs investigations, handles deviations and owns CAPAs and change controls at site level
May perform lab-scale chromatographic processes and virus filtrations as required
Coaches and trains junior team members on lab procedures and systems
Carries out housekeeping, performs environmental monitoring activities and maintains stock control in the laboratory as required
Ensures a safe and healthy work environment at all times by not only complying with but actively embracing health and safety policies and procedures, ensuring the safety of yourself and others within the workplace
Ensures equipment is maintained in the validated state and works with facility department to ensure timely implementation of periodic maintenance and calibration.
Leads lab projects related to equipment validations, continuous improvement, CAPA’s, assay trending, etc
Generates SOP’s and lab records as required

WHO YOU ARE:
Education:
Bachelor degree in Biological Sciences or higher degree in relevant scientific subject

Experience:
Minimum 2 years of experience in a regulated environment (GLP/GMP)
Minimum 2 years of experience in a scientific laboratory role
Prior experience in any of the following areas will be advantageous:
Hands-on experience in cell culture and/or virology
Demonstrable scientific understanding in downstream bioprocessing (filtration & chromatography)
Hands-on experience with Akta chromatographic systems
Knowledge & Skills:
Computer literacy and entry of data into databases (LIMS, ELN, SAP, etc.)
Ability to complete documentation (both handwritten and electronic) neatly and accurately
English fluency in speaking and writing. Practical knowledge of Japanese and/or Korean is a plus.

Core competencies:
Safety and Quality
Adheres to health and safety procedures and actively takes necessary action when encountering unsafe situations
Is organized and pays attention to detail
Adheres to SOPs and protocols, and ensures compliance to site policies and regulations
Problem solving and drive
Can learn new skills and knowledge quickly
Uses logic to solve problems with effective solutions
Enjoys working hard; is action-oriented and determined to provide best-in-class service
Pursues everything with energy, drive and the need to finish, especially in the face of resistance or setbacks
Personal and interpersonal skills
Relates well to all kinds of people in the organization, builds constructive and effective relationships using diplomacy and tact
Is seen as a team player, cooperative and encourages collaboration
Is customer oriented and able to relate with clients from different cultures
The ability to maintain effective working relationships with scientists and other lab personnel will be critical for success in the role


Job Requisition ID: 205480
Location: Singapore
Career Level: C - Professional (1-3 years)
Working time model: full-time
US Disclosure
The Company is an Equal Employment Opportunity employer. No employee or applicant for employment will be discriminated against on the basis of race, color, religion, age, sex, sexual orientation, national origin, ancestry, disability, military or veteran status, genetic information, gender identity, transgender status, marital status, or any other classification protected by applicable federal, state, or local law. This policy of Equal Employment Opportunity applies to all policies and programs relating to recruitment and hiring, promotion, compensation, benefits, discipline, termination, and all other terms and conditions of employment. Any applicant or employee who believes they have been discriminated against by the Company or anyone acting on behalf of the Company must report any concerns to their Human Resources Business Partner, Legal, or Compliance immediately. The Company will not retaliate against any individual because they made a good faith report of discrimination.

North America Disclosure
The Company is committed to accessibility in its workplaces, including during the job application process. Applicants who may require accommodation during the application process should speak with our HR Services team at 855 444 5678 from 8:00am to 5:30pm ET Monday through Friday.",https://sg.indeed.com/rc/clk?jk=28ffaf44cf266c17&fccid=f89587519f04b5aa&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,,,Y,,,,,,Y,,,,,,,,,,
192,9,Singapore,Data analyst,Senior Test Analyst,DYNAMIC HUMAN CAPITAL PTE. LTD.,,,,Singapore,"Roles & Responsibilities
Job Description
Participate in Test plan preparation ,Prepares test cases , test conditions and Test Data
Executes Test Cases and Test Scripts and maintains test execution logs
Logs incidents , individual issues , downtime and Reports Results
Review of Test conditions and test cases
Monitoring day to day test planning & execution progress
Reporting / attending calls and query resolution
Prepare Data Guidelines/Requirements
Review and Guide Test Executors / Test engineers in test execution
Defect tracking

Job Requirements
Minimum 4 years of experience in Manual or Automation Testing
Candidates with experience in Insurance or Banking Domain will be of advantage

HOW TO APPLY:

We would like to invite interested applicants to email detailed resume in MS Word format to:

sicong@dhc.com.sg

We regret to inform that only shortlisted candidates will be notified. All applications will be treated with the strictest confidence.

Ho Si Cong

Registration number R1982598

EA License: 12C6253
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=a234aa3f2f5a1a37&fccid=97a89e03e958c062&vjs=3,29810.0,37940.0,33875.0,30000-39999,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
393,9,Singapore,Data analyst,Senior International Steel Analyst,Cargill,,3.8,"4,394",Singapore,"Position Purpose & Summary:

Cargill Metals Supply Chain (CMSC) works with customers in the global trading, distribution and processing of raw materials and steel products. These products include: iron ore, billets, hot rolled, cold rolled, coated products, wire-rods, bars and sections. From its offices worldwide, it serves miners, mills, processors and end users.

The steel industry is going through a period of disruptive change. Ever increasing complexity, global overcapacity in steel, the commodity super cycle, extreme volatility in both raw material and steel prices are just some of the challenges reshaping the industry and creating opportunities for CMSC to play a major role in the industry’s evolution.

CMSC strategy is focused on the needs and interests of our strategic customers ex-China. We have a strong conviction that there is a lot of unmonetized value in the International Steel Industry and we believe that we can help our customers to unlock this value by partnering with us to create tailored solutions to help them succeed.

The senior international steel analyst is responsible for driving international steel fundamentals analysis and plays a key role in helping develop and shape international trading strategies. The role requires a strong ability to analyze diverse international markets with limited data, innovative use of external and internal data and resources, and the ability to produce research that can be used by the trading team both in the short term and the long term.

Principal Accountabilities:

40%
Own and develop (in partnership with the trading team) tradeable S&D on international steel markets that aids and drives flat price trading decisions; utilizing high frequency data, Macro Economic Data, Government Policy, Direct Commercial Insight, Historical Data and market trends in a fast paced and developing environment. This includes a robust longs SnD that focuses on Southeast Asia, and a flats SnD that focuses on China, India, Vietnam and Europe.

30%
Lead the IFT insight engine through systematically connecting the different analytical components of the Steel business in a clean and concise way. This involves synthesizing and connecting multiple data points, commercial data collection process design, survey design, and data analysis

15%
Work closely with the team to integrate IFT analysis into China steel analysis as well as iron ore global flows.

15%
Build and maintain a database for international steel with a strong emphasis on easy updates and visualization.

Qualifications

Required Qualifications
Good Degree (e.g. 2nd Upper & above) in Business, Economics, Engineering, Math or equivalent
5 to 8 years of relevant experience in commodities fundamentals research
Proficient in fundamental analysis; specifically supply and demand of commodities
Team player and effective communicator
Self-initiated and strong work ethics
Proficiency in data processing and visualization software (Microsoft Excel Macros or VBA and Tableau or Power BI)

Preferred Qualifications
Exposure to trading environment strongly preferred
Proficiency in database programming a plus (SQL, R, Python)

Job Trading & Merchandising
Primary Location Singapore
Schedule Full-time
Job Type Standard
Shift Day Job",https://sg.indeed.com/rc/clk?jk=968f9f1f2d5c71f6&fccid=d7d9a8241ba2f3ec&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,Y,,,,,,Y,Y,,,,,,,,,,Y,,,,,,Y,Y
