,Issued time,Country,Job category,Job title,Company,Part time/ Full Time,Star review,Number of reviews,Location,Job description,Indeed link,Min salary,Max salary,Average salary,Salary group,Minimum education level,Maximum education level,Python,Machine Learning,JavaScript,R,Java,IoT,Excel,Power BI,English,Chinese,SAS,Oracle,C++,C#,C,Qlik,alteryx,Tableau,SPSS,Powerpoint,PostgreSQL,SQL,MySQL,Visualisation tool,Programming tool,Star group
553,1,Hong Kong,Data analyst,"Assistant Manager (Azure,O365)",KOS International Limited,Full-time,,,Hong Kong,"Job Description
About the Client

Our client is a conglormorate. To cope with their business needs, they are inviting a Assistant Manager join their IT team in Hong Kong.
About the Role
Reporting to the Manager, you will need to lead the design, development, testing, implementation and support of various corporate systems:Gather requirement, analyze and evaluate with operational analysis to come up with requirement specification and solution design documents.Produce system design and functional specifications for all new development projects.Produce detailed flow charts and diagrams outlining systems processes and business processes.Perform gap analysis on business workflow to identify the customization/change requirement.Conduct system testing and document results of System Integration and User Acceptance Test.Produce Data model documents and table structure scripts.Coordinate application development for multiple projects.Perform IT support & user training to local and overseas corporate systems users.Deploy solutions projects around Microsoft cloud such as Office 365, Microsoft 365, Azure and related applications.Migration of existing applications and development of new applications using Azure Platform.Manage corporate systems support, administration, security services and maintenance on the various application systems in corporate data center as well as Azure platform.
The Successful ApplicantDegree qualification in Information Technology or related disciplines.Minimum 6 years of experience in application & system development and minimum 2 years of experience as System Analyst or similar capacity.Minimum 3 years of hands-on experience in Enterprise Directory Architecture and Azure/O365 infrastructure (e.g. Microsoft Active Directory, LDAP, Azure AD and Azure Identity/Federation services).Solid experience in design, development, implementation and support of enterprise-level applications.Experienced in using Weblogic, TOMCAT, Java, JSP, JavaScript, HTML, CSS, PHP, XML and PL/SQL.Experienced in supporting Office applications (e.g. MS Office 2016, SharePoint, Skype/Teams and Office 365) in different operating systems (i.e. Windows, Linux and Mac OS, Android and IOS).Knowledgeable on Microsoft Windows Servers, virtualization and network technologies preferably in Hyper-V and VMware.Experience in infrastructure components, switching, routing, load balancing and firewall technologies will be an advantage.Experience in relational database design/development in Oracle, Microsoft SQL and MySql will be an advantage.Highly motivated self-starter as well as a team player who takes initiative with minimal supervision.Customer-focused with strong system analysis and problem-solving skill.Excellent communication skills in both written & verbal English and Chinese.",https://hk.indeed.com/rc/clk?jk=8496b360e3aee73d&fccid=aa207b9300cdbd0f&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,Y,,,,Y,,Y,Y,,Y,,,,,,,,,,Y,,,,5.0 stars
946,1,Hong Kong,Data scientist,"Manager, Consumer Insights",The Nielsen Company (Hong Kong)Ltd,,3.8,2591,"Quarry Bay, Hong Kong Island","For our Hong Kong office, we are currently recruiting for all levels of Managers, from Associate Managers, Managers and Senior Managers in our Consumer Insights team.
About the Consumer Insights Team:
Companies have increasingly been relying on market insights to make informed decisions and our role at Nielsen has evolved into us being information scientists - predicting the ‘What's Next’ for our clients, in order for them to grow, stay relevant in the present and for the future. Our behavioral researchers in Nielsen’s Consumer Insights team tackle our clients’ issues by unlocking the why and the how, while our data researchers identify key clients' priorities quantitatively by applying data science techniques on survey and other big data sources.
About the Role:
The role of a Manager is fundamental to the success of the business. In this capacity, the CI Manager works with internal teams across the organization from team members in the Commercial side of the business as well as Operations and Statisticians to design, manage and execute a wide variety of measurement and insight projects. The CI Manager plays an important client-facing role, helping to support Directors when engaging with clients to understand what they truly want before designing custom solutions to meet their needs across a wide range of data and research needs: consumer insight and understanding, brand and marketing strategy, media measurement and analytics, customer experience and product testing and design.
Key Tasks and Responsibilities:
Provide operational support to the Research Director on a vast array of activities such as proposal preparation, questionnaire development, fieldwork management and data quality, as well as to help formulate and prepare client reports.
Assist in project management to ensure research projects are managed effectively and efficiently.
Assist in client servicing to ensure day-to-day project tasks are executed in an accurate and timely manner.
Actively participate in data analysis and insight generation to provide high quality and actionable solutions for our client work across different industries such as Banking and Finance, Public Enterprises, Luxury, hospitality, apparel, sports, property and Tech & Telco.
Manage a team of Analysts and Senior Analysts, developing your teambuilding skills.
Participate in learning and development forums to help upskill your own knowledge so that you can interface with clients to explore their needs and propose the newest and most relevant solutions.

Experience:
University graduate in any faculties. Marketing, Business, Social Sciences, Mathematics, Statistics or equivalent preferred.
Two years or more research working experience will be preferred.
Strong client services and communication skills and detail-oriented with strong analytical skills
A strategic thinker looking to put together data and research findings with business and marketing strategy
Strong coordination and time management skills
Proactive and striving for excellence, who can work independently and within a team
Good command of oral and written English and Cantonese. Mandarin is a plus.

Kindly note that our recruiter is based in Malaysia, so please pay attention to call number with (+603) for the interview arrangement.
To find out more about what it's like to work with Nielsen and how we can help you fulfill your career aspirations, please visit our website http://www.nielsen.com/hk/en/about-us/careers.html and send email to: jobs@nielsen.com
Summary
Industry:
Consultancy / Professional Service
Job Category / Function:
Professional Services (Business Analysis / Data Analysis)
Marketing / Public Relations (Brand / Product Management)
Marketing / Public Relations (Marketing - Market Research)
Marketing / Public Relations (Management)
Quality Assurance / Control & Testing (QA)
Job Position Level:
Middle
Employment Term:
Full Time / Permanent
Min. Edu. Level Req:
-
Total Working Exp:
2 or above
Salary(HKD):
-
Location:
Eastern District / Quarry Bay
Benefits:
-",https://hk.indeed.com/rc/clk?jk=030c1262e565d705&fccid=683f563b5cc25b70&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
221,1,Hong Kong,Data analyst,Business Analyst,aimHigher Consultancy Limited,,,,Hong Kong,"aimHigher provides professional executive search and recruitment selection service to companies. We help our clients to attract, select and engage the best and brightest talent. As your strategic business partner, we are committed in delivering a recruitment solution that meets your needs.Our Consultants specialize in a range of industry and professional sectors, namely Banking and Financial Services, Finance & Accounting, Hospitality, Human Resources, Retail & Wholesale, Sales & Marketing, Sourcing & Merchandising and Supply Chain. Through such specialization, we ensure that we have the necessary knowledge and in-depth understanding to serve the needs of our clients.
Company Description Our client is the leading direct selling company in Hong Kong. Their business presence in more than 100 countries. This group is committed to provide the excellent services and products to customers. Due to the business needs, they are inviting potential candidate to join as Business Analyst of Information Technology team. Responsibilities Work with business users and product owner in translation of their business needs into working prototypes and applications. Suggest solutions to assist business users/product owners to prioritize and plan the needs in order to maximize business value and enhance user experience. Review and design the end-to-end data flow of the processes to integration solutions Lead developers and vendors to execute the requests Be the communication bridge between technical and product owner Leverage or contribute core components across markets globally by designing global solutions with flexibility of market customization. Requirements Overall 5 to 8 years of experience in application development domain. Experienced in project artifacts like Functional Specifications Document, System Design, High-level wire-frames, flow diagrams, product backlog, user story. Analytical, problem-solving, time-management and communication skills. Familiar with J2EE, commerce ecosystem technology, HTML5, the CI/CD tools, secure code development, Oracle, MySQL, REDIS, micro service, APM, etc. Bachelor''s degree or above, good English verbal and written communication skills. Interested parties please send your updated resume in WORD format with current and expected salaries(quoting Employer Ref: )
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",https://hk.indeed.com/rc/clk?jk=1f1b60247bdf4ac1&fccid=8ac3f2188abe5242&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,5.0 stars
259,2,Hong Kong,Data analyst,Senior Business Improvement Analyst,Cathay Pacific Services Limited,,4.1,280,"Lantau Island, New Territories","Job Description
We are hiring Senior Business Improvement Analyst.

Quality supports to CX subsidiaries in the business scope of Cargo Terminal, Passenger Handling, Ramp Handling, Catering Services and Laundry Services.

Responsibilities:
Lead and drive multiple projects to enhance operating efficiency, performance and cost effectiveness. Motivate and empower people through positive attitude.
Develop process improvement recommendations to achieve greater efficiency through the identification and elimination of unnecessary complexity within business processes and identification of better ways of working through streamlining, standardization, centralization, automation and innovative solutions etc.
Conduct operating process diagnosis using various research and analytical tools to bring out operation insight and identify process improvement opportunities to achieve operation excellence.
Deliver training and coaching to transfer continuous improvement knowledge to people within the organization.
Foster an improvement culture and implement a continuous improvement mindset in process and people in the organization.
Job Requirements
Bachelor’s degree in any discipline.
Minimum 3 years’ relevant experience in managing continuous improvement projects.
Demonstrated track record of successful projects with actual benefits
Lean Six Sigma Green Belt above, or equivalent training, preferred.
Excellent mentoring and coaching skills, take initiatives to solve problems proactively.
Good command of both written and spoken Chinese and English.
Less experiences will be considered as Business Improvement Analyst.
Interested parties please apply by clicking ""APPLY NOW""

 Applicants not contacted within 6 weeks may consider their applications unsuccessful.

Cathay Pacific Services Limited is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within six weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months.",https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BK4V1O19dWgfSgoDjE6A4qyi3uW2oJsNebM5Hzz2q_v0hHEKDf4SreaKCKHyCqkYPraaplpOMLWmACb6Lt_ZHrDzqjvR2knwk52CYoVKT78wVXpzgES4V5IdImrfnUa3hOe9TzMULddueH433MikygVSrVIrnJmdUbGS8vk3LR0GJKVpzuiQyM3paDZcowcVBDNAVoApZoniJkz76urKcvIHNQhBzcMJOKTBTI1rI_1zKtuRXEYnhul1OHcx1FRngPp0T7u-8zIdxpEMTU47f0HD85JAKuzfH6ULnGF_EvnikuRdh_jTcOm3OAsjTan0ORm4jWAedURKEXt_8kcOyV826IOWWUlPu-_9o_Zr_tqEhF24vP_gVf5kAVd6C6k3zsJYOkOBI5H6cO4xroLxM4RV-9YTrh7QKp8JvaSHX6li8gvzjPCnfET-uwUNFyQJNsbkvcMQJQ4Y4bgxzzK7BBoTTbcJd295dWsjiomUc2goDI0oi91SlojQLvM9x8GcqLJTEleWhKhhlqm2J520AzcXSq3mVSC8fQfCgE0lurivB0-I6o0KwzsNIFwW4UvNKy1UynDTVGwbZpqZSo4CL8dO9uTIbyjeVtBhUslsxzYJ7Zh9LEn1QJvPZa-hVaJBKO2rqhkbMcjdu0DGvxWNWeSpHQT5ByXtI=&p=12&fvj=0&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,
618,2,Hong Kong,Data analyst,Urgent !! Healthcare Team – Analyst Programmer / System Analyst ( for Java / .Net) x 8 Openings,Automated Systems (HK) Ltd,Full-time,3.3,4,Hong Kong,"Total Computer Solutions You Can Trust

Automated Systems (HK) Ltd. is a Hong Kong listed company providing total computer solutions and IT services since 1973. Our clients include leading financial institutions, telecommunications, government departments and educational establishments around the region. To cope with our rapid business growth, we invite dynamic and aggressive IT talents to join our growing team.

Job Responsibilities:
Perform software development according to functional and technical requirements

Provide support to different related ad-hoc queries, as requested by the superiors

Software design for new initiatives or existing programs enhancements

Responsible for performing testing including unit test, System Integration Test, User

Acceptance Test, Load Test, etc.

Follow best practices and procedures defined in documentation, version control, quality assurance, issue management etc.

Job Requirements

Degree Holder in IT or related fields

2- 4 years of experience may be considered as Analyst Programmer / Senior Analyst Programmers

6 years or above of relevant experience may be considered as Systems Analysts / Senior Systems Analysts

Knowledge in Java, J2EE technology, JavaScript, JSP, Oracle

Proficiency in ReactJS, ExtReact, Material UI, Spring Boot framework would be an advantage

Experience in Scrum would be an advantage

Good Interpersonal, Analytical Communication Skills

Good command of spoken and written English and Chinese

Job Highlights:
System and application development

System maintenance and upgrade

Hands-on experience on Java, J2EE

We offer 5-day week, excellent career opportunities, remuneration and benefits to the right candidates. Please state clearly the position you are applying with reference no. in the subject line and sending a full resume in MS Word Format including recruitment channel, present and expected salary to: Human Resources Department, Automated Systems (HK) Ltd., 15/F., Topsail Plaza, 11 On Sum Street, Shatin, N.T.

To learn us more, please visit our website: www.asl.com.hk

We are an equal opportunity employer. All applications will be treated in strict confidence. We regret that only shortlisted candidates will be notified. All personal data will be destroyed within six months after the selection process.

Full-time,Contract",https://hk.indeed.com/rc/clk?jk=ed05ab89baeb30f7&fccid=d4ac96ea516bca96&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,Y,,,,,,Y,Y,,Y,,,,,,,,,,,,,,
854,2,Hong Kong,Data scientist,Data Scientist / Associate Data Scientist / Trainee,CargoSmart (Hong Kong) Limited,,,,Hong Kong,"We are a leading international container transport and logistics service provider, operating from more than 360 offices in 70 countries around the world. Our modern and ever-expanding fleet, in addition to our extensive international facilities, links Asia, Europe, North America and Mediterranean, the Indian sub-continent, the Middle East and Australia/New Zealand. As a customer-focused organization we embrace quality standards, utilizing the most advanced information technology and e-Commerce platforms in the industry.

OOCL has long been recognized as the industry leader in developing and providing IT solutions for both container transportation customers and logistics customers. In addition, we are also the pioneer in the provision of IT solutions for other industry players through our advanced systems and portals. One such system is CargoSmart, one of the most advanced online application and integration service in the ocean container transportation industry, which has received 5 awards for its innovative use of leading technology.

At OOCL we recognize that people are our most important asset and would like to invite high-caliber candidates to join our global team.

Accelerate your career

Experience a taste of advanced technologies and working modules

Equip yourself with global exposure and a wide range of innovative projects

Work with a highly skilled team made up of talented individuals with amazing backgrounds

Your role

Be curious and passionate in developing or enhancing machine learning and artificial intelligence algorithms

Bring up your insights to dedicated projects with strong analytical and logical thinking

Transform your knowledge and ideas into enterprise solutions

Enjoy team collaboration and an open organization

Who we are looking for

Bachelors degree or above in Data Science, Statistics, Operations Research, Computer Science or related disciplines

Solid experience in artificial intelligence, Machine Learning, Data Science projects

Keen to learn high programing languages: Python, R, R/shiny, Spark on Big Data Cloud based technologies, SQL, and Java

Less experience will be considered as Associate Data Scientist

Fresh graduates are welcome to join Data Science Trainee Program

Interested parties, please submit your application letter together with detailed resume and copies of your latest transcript by clicking Apply Now.

(Data collected will be used for recruitment purpose only.)

Full-time",https://hk.indeed.com/rc/clk?jk=9e1c44f7774b5a72&fccid=fb29eb1c108e47fa&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,5.0 stars
179,2,Hong Kong,Data analyst,"Programmer/ Analyst Programmer (Java) x 2 Openings, Public Sector",Automated Systems (HK) Ltd,Full-time,3.3,4,Hong Kong,"Total Computer Solutions You Can Trust

Automated Systems (HK) Ltd. is a Hong Kong listed company providing total computer solutions and IT services since 1973. Our clients include leading financial institutions, telecommunications, government departments and educational establishments around the region. To cope with our rapid business growth, we invite dynamic and aggressive IT talents to join our growing team.

Job Ref: Solution Div (clam20)

Job Duties:
Work with clients team to maintain and enhance application systems;

Study requirement and prepare documentation on functional specification technical specification;

Perform system analysis, design, implementation, testing and support;

Assist in providing user training and support;

Maintain system documentation according to the guidelines and standards; and

Perform other duties as assigned by the supervisors.

Requirements:
University graduate or above in Computer Science or equivalent

As least 5 years IT Experience

At least 3 years solid experience in JAVA web-based application development on the following technologies:

JAVA, J2EE

Java application frameworks such as ADF, Spring, Structs, ZK

Windows Server, Linux Server

JBoss, Oracle WebLogic

Oracle, SQL Server Database

Crystal Report, Oracle Report Builder

GIT, Azure DevOps

Good communication and interpersonal skill

Proficiency in both of English and Chinese

Less experience may be considered as Analyst Programmer

We offer 5-day week, excellent career opportunities, remuneration and benefits to the right candidates. Please state clearly the position you are applying with reference no. in the subject line and sending a full resume in MS Word Format including recruitment channel, present and expected salary to: Human Resources Department, Automated Systems (HK) Ltd., 15/F., Topsail Plaza, 11 On Sum Street, Shatin, N.T.

To learn us more, please visit our website: www.asl.com.hk

We are an equal opportunity employer. All applications will be treated in strict confidence. We regret that only shortlisted candidates will be notified. All personal data will be destroyed within six months after the selection process.

Full-time,Contract",https://hk.indeed.com/rc/clk?jk=148569f31fba863b&fccid=d4ac96ea516bca96&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,Y,,,,Y,Y,,Y,,,,,,,,,,Y,,,,
228,2,Hong Kong,Data analyst,Technical Analyst - VMware,CargoSmart (Hong Kong) Limited,,,,Hong Kong,"We are a leading international container transport and logistics service provider, operating from more than 360 offices in 70 countries around the world. Our modern and ever-expanding fleet, in addition to our extensive international facilities, links Asia, Europe, North America and Mediterranean, the Indian sub-continent, the Middle East and Australia/New Zealand. As a customer-focused organization we embrace quality standards, utilizing the most advanced information technology and e-Commerce platforms in the industry.

OOCL has long been recognized as the industry leader in developing and providing IT solutions for both container transportation customers and logistics customers. In addition, we are also the pioneer in the provision of IT solutions for other industry players through our advanced systems and portals. One such system is CargoSmart, one of the most advanced online application and integration service in the ocean container transportation industry, which has received 5 awards for its innovative use of leading technology.

At OOCL we recognize that people are our most important asset and would like to invite high-caliber candidates to join our global team.

Accelerate your career

You will be a core member of our System Support Team to implement support the mission critical Enterprise System and Infrastructures including VMware, HCI and Hadoop platforms in both Hong Kong and Shang Hai Date Centers

This is an excellent opportunity to participate in our most challenging project of Enterprise system implementation, supporting and new technologies evaluations.

Your role

Evaluate and implement efficient and scalable system management and automation tools to support our Enterprise Applications on Linux Windows platforms.This is an excellent opportunity to participate in our most challenging project of Enterprise system implementation, supporting and new technologies evaluations.

Provide timely support, trouble shooting and implement the fixing in related platforms

Provide the Disaster Recovery environment implementation and support

Who we are looking for

2 years or above experience in Virtualization, Enterprise LINUX and Windows

Experience in Docker platform and Disaster Recovery environment design and operation is advantageous

Experience in developing automation scripts such as Linux Shell, PowerShell scripts, Python and Perl are also advantageous

Interested parties, please submit your application letter together with detailed resume and copies of your latest transcript by clicking Apply Now.

(Data collected will be used for recruitment purpose only.)

Full-time",https://hk.indeed.com/rc/clk?jk=0df7e05652eed424&fccid=fb29eb1c108e47fa&vjs=3,,,,Not Mentioned,Not specified,Not specified,Y,,,,,,,,,,Y,,,,,,,,,,,,,,Y,5.0 stars
246,2,Hong Kong,Data analyst,Cyber Security Analyst,CargoSmart (Hong Kong) Limited,,,,Hong Kong,"We are a leading international container transport and logistics service provider, operating from more than 360 offices in 70 countries around the world. Our modern and ever-expanding fleet, in addition to our extensive international facilities, links Asia, Europe, North America and Mediterranean, the Indian sub-continent, the Middle East and Australia/New Zealand. As a customer-focused organization we embrace quality standards, utilizing the most advanced information technology and e-Commerce platforms in the industry.

OOCL has long been recognized as the industry leader in developing and providing IT solutions for both container transportation customers and logistics customers. In addition, we are also the pioneer in the provision of IT solutions for other industry players through our advanced systems and portals. One such system is CargoSmart, one of the most advanced online application and integration service in the ocean container transportation industry, which has received 5 awards for its innovative use of leading technology.

At OOCL we recognize that people are our most important asset and would like to invite high-caliber candidates to join our global team.

Cyber Security Team is responsible for the information security protection and management of a global infrastructure ensuring the availability, integrity and confidentiality of network infrastructure, application system and data. Your position will work with business units and IT Management to identify risks, develop security measures to mitigate the risks, manage varies security technologies and raise user awareness on security best practice.

Responsibilities:
Develop, implement and maintain a Big Data Security Analytics platform using ELK Stack, Kafka, Spark etc..

Security threat hunting through Big Data Security Analytics in correlation of machine data, security threat intelligence feeds and Indicators of Compromise (IoC) to detect and block both known and unknown security threats

Develop and implement appropriate security measures to safeguard the delivery of IT services. Research and evaluate new technologies in adapting security protection to the latest threat landscape

Lead the security incident response process and work closely with respective IT infrastructure support, application developers and users to respond to, contain and remediate IT security related incident to minimize potential business impact

Vulnerability management in schedule regular system, network and application code vulnerability scanning, classify and prioritize risks, and guide relevant stakeholders to ensure the IT infrastructure is secured against known attack vectors and prevalent threats

Security patch assessment and management advisory to respective IT platform owners to ensure security patch deployment is comply to defined Service Level Agreements (SLAs)

Develop and implement appropriate recovery plans for resilience and to restore IT services that were impaired due to a security incident

Conduct security awareness and training programs to educate users on the risks and the corresponding security best practices

Assist IT Management to develop IT security architecture, security policies and guidelines

Candidate with less experience would be consider as Assistant Information Security Analyst

Requirements:
University graduate in Computer Science, Information Technology, Networking or Security

Minimum 5 years hands on knowledge and working experience in software development and application security. Familiar with common Web vulnerability and protection, including but not limited on SQL Injection, XSS, CSRF and so on for OWASP TOP 10 vulnerabilities

Excellent scripting skills in Python, Perl, shell and/or PowerShell

Good development skills with sound security knowledge is an advantage

Good command of spoken and written English, Mandarin is an advantage

Interested parties, please submit your application letter together with detailed resume and copies of your latest transcript by clicking Apply Nowand quote the reference number on the subject.

(Data collected will be used for recruitment purpose only.)

Full-time",https://hk.indeed.com/rc/clk?jk=3cb0c81b0dae1ffd&fccid=fb29eb1c108e47fa&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,Y,,,,,,Y,,Y,Y,,,,,,,,,,,,Y,,,Y,5.0 stars
251,2,Hong Kong,Data analyst,Project Manager / Business Analyst (Circa 480K - 700K / annum),ATA - Aacurapid Talent Acquisition,Full-time,,,Hong Kong,"Job Highlight: Banking / Finance SectorProject Management, Business Analysis skillsFamiliar with SDLC, Agile ApproachCore Banking, Retail Banking, Wealth ManagementResponsibilities: Responsible for projects of Wealth Management application or other banking systemsAnalyze, defining and documenting business processes, data and requirements for wealth management processEnsure projects delivered on time and within budgetParticipation in IT operation support, such as business process mapping and user procedure documentsRequirement:Higher Diploma in Information Technology or equivalent5-8 years or above relevant experience with solid experience in Banking / Finance SectorSolid experience in Project Management and familiar with SDLC and Agile approachExperience in Banking systems such as Core banking, Retail Banking, Treasury system, Private banking would be an advantageCertification in PMP, PRINCE2 or equivalent preferredFluency in Cantonese, Mandarin and EnglishGood communication and negotiation skills as well as problem solving skillsInterested parties, please send us your CV in WORD format for job application.Job Types: Full-time, PermanentSalary: $40,000.00 to $58,000.00 /monthExperience:Business Analysis: 5 years (Preferred)Project Management: 5 years (Preferred)",https://hk.indeed.com/company/ATA---Aacurapid-Talent-Acquisition/jobs/Project-Manager-819e3438b3dc5710?fccid=e3e0715a062e73ae&vjs=3,40000.0,58000.0,49000.0,40000-49999,Diploma,Higher Diploma,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,5.0 stars
13,2,Hong Kong,Data analyst,Web Programmer and Data Analyst:,A4lution Limited,Full-time,,,"Kwun Tong, Kowloon","Job Descriptions:Define, document and translate business requirement into system specification.Perform analysis, design, programming and testing following system development life cycle (SDLC) methodology and adhering to corporate-wise technology standards.Adhere to the development processes including coding standards, technical, documentation standards, QA processes, configuration management.Work closely in team-environment and meet project schedules; andKeep good communication and coordination with team members.Requirements:Degree in Computer Science, Information Technology or related discipline.Hands-on experience in web programming.Hands-on experience in VB.NET, C#, Java, Javascript, HTML5, etc.;Fluent in applying SQL statement for data manipulations.Fresh graduate is welcome for application, more than 2 years’ work experience will be considered as Analyst Programmer.Good command of written and spoken in Chinese and English; andImmediately available highly preferable.We offer five-day work week, attractive career opportunities, remuneration, and benefits to the right candidates.工作類型: 全職, 合約, 長期薪酬:每月 $15,000.00-$30,000.00",https://hk.indeed.com/company/A4lution-Limited/jobs/Web-Programmer-Data-Analyst-9dd697b78290613a?fccid=ab2bef7270f3f01a&vjs=3,15000.0,30000.0,22500.0,20000-29999,Bachelor,Bachelor,,,,,,,,,Y,Y,,,,Y,,,,,,,,Y,,,,5.0 stars
14,2,Hong Kong,Data analyst,Data Analyst,"Hong Kong Asian Ark Technologies Co., Limited",Full-time,,,Hong Kong,"http://www.hkasianark.com/

Asian ark is a young and energetic working team. We are now seeking talents to join us!

Asian ark is a young and energetic working team. We are now seeking talents to join us!

Responsibilities:
Interpret data and analyze results using statistical techniques and provide ongoing reports for IT projects

Develop and implement databases, data collection systems and data analytics

Ensure data accuracy and continuously improve data quality

Analyze structured and unstructured data, visualize findings to uncover patterns and discover insights for operation improvement, services optimization and predictive maintenance

Requirements:
PhD degree in Computer Science, Statistics, Mathematics, Information Management or other related disciplines

At least 2 years relevant experience in data analysis, data mining, statistical modeling, predictive analytics, machine learning or data science related work

Experienced in working with complex data from multiple sources, database marketing and database management

Proficiency in Python, R, SAS or other statistical / data science language

Experience with statistical modeling tools and data visualization tools

Well organized, independent, self-motivated and good team player

Good command of both written and spoken Cantonese, Mandarin and English

Benefits:
5-day work

12 days annual leave

Marriage leave

Medical insurance

Dental insurance

Casual work attire

Free drinks and snacks

Flat company structure: your ideas get heard by the right people directly

Diverse range of game and app: learn and try different projects from time to time

Regular (and fun) company activities

Company will provide dormitory for excellent personnel

Interested parties please click apply now subit your CV to us

Full-time,Permanent",https://hk.indeed.com/rc/clk?jk=dd3535bbd43fbe5e&fccid=6e955bd256e1cc10&vjs=3,,,,Not Mentioned,PhD,PhD,Y,Y,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,Y,5.0 stars
472,2,Hong Kong,Data analyst,Analyst Programmer in .NET (Insurance Industry),Automated Systems (HK) Ltd,Full-time,3.3,4,Hong Kong,"Total Computer Solutions You Can Trust

Automated Systems (HK) Ltd. is a Hong Kong listed company providing total computer solutions and IT services since 1973. Our clients include leading financial institutions, telecommunications, government departments and educational establishments around the region. To cope with our rapid business growth, we invite dynamic and aggressive IT talents to join our growing team.

Job Duties:
Work closely with clients team to implement the system follow coding practice/guideline/ standard provided by the client;

Understand functional specification technical specification;

Perform implementation, testing and support;

Assist in providing user training and production rollout;

Perform other duties as assigned by the supervisors.

Job Requirements:
Life insurance project experience would be an advantage

University graduate or above in Computer Science or equivalent

Minimum 3 years solid experience in .NET application development platform on the following technologies:

Web Application:
HTML5, CSS3, JavaScript, jQuery, ASP.NET, C#, Bootstrap

MS SQL

JSON and XML

WEB API 2, Swagger

ASP.NET MVC, Entity Framework

Crystal Report 2016

GIT, Azure DevOps

Windows application:
VB.NET, LINQ, C#, MSSQL

Proficiency in writing and communication skills

Proficiency in both of English and Chinese

We offer 5-day week, excellent career opportunities, remuneration and benefits to the right candidates. Please state clearly the position you are applying with reference no. in the subject line and sending a full resume in MS Word Format including recruitment channel, present and expected salary to: Human Resources Department, Automated Systems (HK) Ltd., 15/F., Topsail Plaza, 11 On Sum Street, Shatin, N.T.

To learn us more, please visit our website: www.asl.com.hk

We are an equal opportunity employer. All applications will be treated in strict confidence. We regret that only shortlisted candidates will be notified. All personal data will be destroyed within six months after the selection process.

Full-time,Contract",https://hk.indeed.com/rc/clk?jk=932fb4fe4f3d3e3d&fccid=d4ac96ea516bca96&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,Y,,,,,,Y,Y,,,,Y,,,,,,,,,,,,
43,2,Hong Kong,Data analyst,Research Analyst,"Hong Kong Asian Ark Technologies Co., Limited",,,,Hong Kong,"http://www.hkasianark.com/

Asian ark is a young and energetic working team. We are now seeking talents to join us!

Asian ark is a young and energetic working team. We are now seeking talents to join us!

Responsibilities:
Conduct and co-ordinate research and data analysis in IT projects

Build, maintain, update and enhance research databases on ongoing basis

Review and evaluate collected research data and ensure consistence, accuracy and comprehensiveness of that data

Requirements:
Bachelor or Master degree holder in computer science, engineering or related discipline

Preferably with at least 1 to 2 years relevant experience

Strong knowledge of PC applications (MS word / Excel) and preferably statistical software

Familiar with programming language such as Java/C++/C#/Python or others

Strong analytical ability with good communication and interpersonal skills

Self-motivated, mature and able to work independently as well as be a good team player

Good command of both written and spoken Cantonese, Mandarin and English

Benefits:
5-day work

12 days annual leave

Marriage leave

Medical insurance

Dental insurance

Casual work attire

Free drinks and snacks

Flat company structure: your ideas get heard by the right people directly

Diverse range of game and app: learn and try different projects from time to time

Regular (and fun) company activities

Company will provide dormitory for excellent personnel

Interested parties please click apply submit your CV to us

Full-time",https://hk.indeed.com/rc/clk?jk=238f1910ef330c6c&fccid=6e955bd256e1cc10&vjs=3,,,,Not Mentioned,Bachelor,Master,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,5.0 stars
